"Sales journal","Journal des ventes"
"Day report","Rapport jour"
"Period report","Rapport sur la période"
"Generate","Générer"
"Specific day","Journée spécifique"
"From","Du"
"To","Au"
"OR Period report","OU Rapport sur la période"
"Please set a date or a period.","Merci de renseigner une date ou une periode."
"Please set a valid period.","Merci de renseigner une période valide."
"From %s to %s","Du %s au %s"
"%s (Today)","%s (Aujourd'hui)"
"Credit Memos","Avoirs"
"Credit Memos Total Amount","Montant total des avoirs TTC"
"Credit Memos Total Amount Excluding Tax","Montant total des avoirs HT"
"Number of Credit Memos","Nombre d'avoirs"
